instance,alpha,num_iterations,score,time
dat/project.3.dat,0.8,8,7,0.148042
dat/project.3.dat,0.8,9,7,0.164252
dat/project.3.dat,0.8,10,7,0.180751
dat/project.3.dat,1,1,7,0.0247239
dat/project.3.dat,1,2,7,0.0425772
dat/project.3.dat,1,3,7,0.0571771
dat/project.3.dat,1,4,7,0.0779234
dat/project.3.dat,1,5,7,0.0953642
dat/project.3.dat,1,6,7,0.111047
dat/project.3.dat,1,7,7,0.127708
dat/project.3.dat,1,8,7,0.146967
dat/project.3.dat,1,9,7,0.163381
dat/project.3.dat,1,10,7,0.17986
dat/project.4.dat,0,1,4.44212e-43,0.0144731
dat/project.4.dat,0,2,4.44212e-43,0.0264886
dat/project.4.dat,0,3,4.44212e-43,0.0337112
dat/project.4.dat,0,4,4.44212e-43,0.0500788
dat/project.4.dat,0,5,4.44212e-43,0.0662458
dat/project.4.dat,0,6,4.44212e-43,0.0746438
dat/project.4.dat,0,7,4.44212e-43,0.0910524
dat/project.4.dat,0,8,4.44212e-43,0.106854
dat/project.4.dat,0,9,4.44212e-43,0.115226
dat/project.4.dat,0,10,4.44212e-43,0.13142
dat/project.4.dat,0.2,1,4.44212e-43,0.0120045
dat/project.4.dat,0.2,2,4.44212e-43,0.0248195
dat/project.4.dat,0.2,3,4.44212e-43,0.0329643
dat/project.4.dat,0.2,4,4.44212e-43,0.0498221
dat/project.4.dat,0.2,5,4.44212e-43,0.065487
dat/project.4.dat,0.2,6,4.44212e-43,0.0739442
dat/project.4.dat,0.2,7,4.44212e-43,0.0905271
dat/project.4.dat,0.2,8,4.44212e-43,0.0995608
dat/project.4.dat,0.2,9,4.44212e-43,0.116977
dat/project.4.dat,0.2,10,4.44212e-43,0.131165
dat/project.4.dat,0.4,1,4.44212e-43,0.0079831
dat/project.4.dat,0.4,2,4.44212e-43,0.0245617
dat/project.4.dat,0.4,3,4.44212e-43,0.0348574
dat/project.4.dat,0.4,4,4.44212e-43,0.0492635
dat/project.4.dat,0.4,5,4.44212e-43,0.0655818
dat/project.4.dat,0.4,6,4.44212e-43,0.0737209
dat/project.4.dat,0.4,7,4.44212e-43,0.0900741
dat/project.4.dat,0.4,8,4.44212e-43,0.106452
dat/project.4.dat,0.4,9,4.44212e-43,0.118128
dat/project.4.dat,0.4,10,4.44212e-43,0.134932
dat/project.4.dat,0.6,1,4.44212e-43,0.0142956
dat/project.4.dat,0.6,2,4.44212e-43,0.0207501
dat/project.4.dat,0.6,3,4.44212e-43,0.0369099
dat/project.4.dat,0.6,4,4.44212e-43,0.0530237
dat/project.4.dat,0.6,5,4.44212e-43,0.0697432
dat/project.4.dat,0.6,6,4.44212e-43,0.0832306
dat/project.4.dat,0.6,7,4.44212e-43,0.0947084
dat/project.4.dat,0.6,8,4.44212e-43,0.110985
dat/project.4.dat,0.6,9,4.44212e-43,0.120243
dat/project.4.dat,0.6,10,4.44212e-43,0.135866
dat/project.4.dat,0.8,1,4.44212e-43,0.0139224
dat/project.4.dat,0.8,2,4.44212e-43,0.0247859
dat/project.4.dat,0.8,3,4.44212e-43,0.0412604
dat/project.4.dat,0.8,4,4.44212e-43,0.0494298
dat/project.4.dat,0.8,5,4.44212e-43,0.0664959
dat/project.4.dat,0.8,6,4.44212e-43,0.0823542
dat/project.4.dat,0.8,7,4.44212e-43,0.09306
