instance,alpha,num_iterations,score,time
dat/project.3.dat,0.6,8,7,0.072082
dat/project.3.dat,0.6,9,7,0.0889812
dat/project.3.dat,0.6,10,7,0.105477
dat/project.3.dat,0.8,1,7,0.0142226
dat/project.3.dat,0.8,2,7,0.0142226
dat/project.3.dat,0.8,3,7,0.0306485
dat/project.3.dat,0.8,4,7,0.0471258
dat/project.3.dat,0.8,5,7,0.0471258
dat/project.3.dat,0.8,6,7,0.0639752
dat/project.3.dat,0.8,7,7,0.0639752
dat/project.3.dat,0.8,8,7,0.0837899
dat/project.3.dat,0.8,9,7,0.0837899
dat/project.3.dat,0.8,10,7,0.101881
dat/project.3.dat,1,1,7,0
dat/project.3.dat,1,2,7,0.0171363
dat/project.3.dat,1,3,7,0.0336602
dat/project.3.dat,1,4,7,0.0336602
dat/project.3.dat,1,5,7,0.0501053
dat/project.3.dat,1,6,7,0.0501053
dat/project.3.dat,1,7,7,0.0714917
dat/project.3.dat,1,8,7,0.0974301
dat/project.3.dat,1,9,7,0.11112
dat/project.3.dat,1,10,7,0.12472
dat/project.4.dat,0,1,-1,0.0083955
dat/project.4.dat,0.2,1,-1,0.011659
dat/project.4.dat,0.4,1,-1,0.0100892
dat/project.4.dat,0.6,1,-1,0.0071749
dat/project.4.dat,0.8,1,-1,0.0117897
dat/project.4.dat,1,1,-1,0.0088272
dat/project.5.dat,0,1,4.3,0
dat/project.5.dat,0.2,1,4.3,0
dat/project.5.dat,0.2,2,4.3,0.0177371
dat/project.5.dat,0.2,3,4.3,0.0177371
dat/project.5.dat,0.2,4,4.3,0.0341228
dat/project.5.dat,0.2,5,4.3,0.0341228
dat/project.5.dat,0.2,6,4.3,0.0510229
dat/project.5.dat,0.2,7,4.3,0.0510229
dat/project.5.dat,0.2,8,4.3,0.0677072
dat/project.5.dat,0.2,9,4.3,0.0833718
dat/project.5.dat,0.2,10,4.3,0.089014
dat/project.5.dat,0.4,1,4.3,0.0073214
dat/project.5.dat,0.4,2,4.3,0.0073214
dat/project.5.dat,0.4,3,4.3,0.0243198
dat/project.5.dat,0.4,4,4.3,0.0410282
dat/project.5.dat,0.4,5,4.3,0.0490366
dat/project.5.dat,0.4,6,4.3,0.0579983
dat/project.5.dat,0.4,7,4.3,0.0579983
dat/project.5.dat,0.4,8,4.3,0.0744688
dat/project.5.dat,0.4,9,4.3,0.0911859
dat/project.5.dat,0.4,10,4.3,0.0911859
dat/project.5.dat,0.6,1,4.3,0.0141779
dat/project.5.dat,0.6,2,4.3,0.0288368
dat/project.5.dat,0.6,3,4.3,0.0309617
dat/project.5.dat,0.6,4,4.3,0.0479774
dat/project.5.dat,0.6,5,4.3,0.0479774
dat/project.5.dat,0.6,6,4.3,0.0646022
dat/project.5.dat,0.6,7,4.3,0.0815323
dat/project.5.dat,0.6,8,4.3,0.0815323
dat/project.5.dat,0.6,9,4.3,0.100909
dat/project.5.dat,0.6,10,4.3,0.115325
dat/project.5.dat,0.8,1,4.3,0.002055
dat/project.5.dat,0.8,2,4.3,0.0167868
dat/project.5.dat,0.8,3,4.3,0.03065
dat/project.5.dat,0.8,4,4.3,0.03065
dat/project.5.dat,0.8,5,4.3,0.0477675
dat/project.5.dat,0.8,6,4.3,0.0477675
dat/project.5.dat,0.8,7,4.3,0.0644298
dat/project.5.dat,0.8,8,4.3,0.0793998
dat/project.5.dat,0.8,9,4.3,0.0814618
dat/project.5.dat,0.8,10,4.3,0.0976428
dat/project.5.dat,1,1,4.3,0.0074981
dat/project.5.dat,1,2,4.3,0.0074981
dat/project.5.dat,1,3,4.3,0.0237973
dat/project.5.dat,1,4,4.3,0.04028
dat/project.5.dat,1,5,4.3,0.04028
dat/project.5.dat,1,6,4.3,0.0594093
dat/project.5.dat,1,7,4.3,0.0737534
dat/project.5.dat,1,8,4.3,0.0737534
dat/project.5.dat,1,9,4.3,0.0898958
dat/project.5.dat,1,10,4.3,0.0898958
dat/project.6.dat,0,1,5.5,0
dat/project.6.dat,0.2,1,5.5,0
dat/project.6.dat,0.2,2,5.5,0.0172178
dat/project.6.dat,0.2,3,5.5,0.0262299
dat/project.6.dat,0.2,4,5.5,0.0338175
dat/project.6.dat,0.2,5,5.5,0.0338175
dat/project.6.dat,0.2,6,5.5,0.0501777
dat/project.6.dat,0.2,7,5.5,0.0501777
dat/project.6.dat,0.2,8,5.5,0.0727391
dat/project.6.dat,0.2,9,5.5,0.0727391
dat/project.6.dat,0.2,10,5.5,0.088467
dat/project.6.dat,0.4,1,5.5,0.013756
dat/project.6.dat,0.4,2,5.5,0.013756
dat/project.6.dat,0.4,3,5.5,0.030336
dat/project.6.dat,0.4,4,5.5,0.030336
