instance,alpha,num_iterations,score,time
060,0.4,10,36.35,1.11727
060,0.6,1,34.86,0.0984804
060,0.6,2,34.86,0.189187
060,0.6,3,35.73,0.303978
060,0.6,4,36.35,0.383474
060,0.6,5,36.35,0.486545
060,0.6,6,36.35,0.586442
060,0.6,7,36.35,0.683907
060,0.6,8,36.35,0.822644
060,0.6,9,36.35,0.93298
060,0.6,10,36.35,1.04925
060,0.8,1,36.35,0.117585
060,0.8,2,36.35,0.200503
060,0.8,3,36.35,0.29029
060,0.8,4,36.35,0.407618
060,0.8,5,36.35,0.490341
060,0.8,6,36.35,0.598622
060,0.8,7,36.35,0.715555
060,0.8,8,36.35,0.822463
060,0.8,9,36.35,0.960448
060,0.8,10,36.35,1.08164
060,1,1,34.43,0.113478
060,1,2,35.8,0.242421
060,1,3,35.8,0.320801
060,1,4,36.35,0.437834
060,1,5,36.35,0.563701
060,1,6,36.35,0.674766
060,1,7,36.35,0.849078
060,1,8,36.35,0.933689
060,1,9,36.35,1.0184
060,1,10,36.35,1.11788
070,0,1,36.65,0.155599
070,0.2,1,35.48,0.142565
070,0.2,2,36.76,0.282206
070,0.2,3,36.82,0.428112
070,0.2,4,36.82,0.583826
070,0.2,5,36.82,0.707572
070,0.2,6,36.82,0.850289
070,0.2,7,36.82,1.01569
070,0.2,8,37.14,1.20019
070,0.2,9,37.14,1.34557
070,0.2,10,37.14,1.51599
070,0.4,1,35.1,0.158698
070,0.4,2,35.1,0.255308
070,0.4,3,35.1,0.383929
070,0.4,4,36.76,0.566352
070,0.4,5,36.76,0.778902
070,0.4,6,36.76,0.917338
070,0.4,7,36.76,1.04962
070,0.4,8,36.76,1.16498
070,0.4,9,36.76,1.31709
070,0.4,10,37.14,1.52051
070,0.6,1,37.14,0.121484
070,0.6,2,37.14,0.27791
070,0.6,3,37.14,0.411584
070,0.6,4,37.14,0.544805
070,0.6,5,37.14,0.694491
070,0.6,6,37.14,0.850285
070,0.6,7,37.14,0.994385
070,0.6,8,37.14,1.1106
070,0.6,9,37.14,1.23015
070,0.6,10,37.14,1.37999
070,0.8,1,36.76,0.196466
070,0.8,2,36.76,0.35068
070,0.8,3,36.76,0.480397
070,0.8,4,36.96,0.685125
070,0.8,5,36.96,0.814633
070,0.8,6,37.14,0.964733
070,0.8,7,37.14,1.06343
070,0.8,8,37.14,1.24728
070,0.8,9,37.14,1.33107
070,0.8,10,37.14,1.473
070,1,1,35.83,0.129238
070,1,2,35.83,0.321275
070,1,3,35.83,0.493067
070,1,4,35.98,0.589638
070,1,5,35.98,0.72743
